,onboarding_skips,total_events,avg_event_interval_sec,answer_errors,dislikes,successful_purchase,error_rate,is_churned,goals_creative,goals_professional,goals_personal_dev,goals_social_entertain,assist_detailed,assist_concise,interest_creative_arts,interest_practical,interest_outdoor,interest_intellectual,interest_business_tech,interest_lifestyle
Кластер 0,0.3773403744599136,38724.22611617859,50860.1123686215,134.33029284685549,115.96351416226597,0.9879980796927509,0.008017515782000014,0.08161305808929428,0.628420547287566,0.8977436389822372,0.3730196831493039,0.3374939990398464,0.9692750840134422,0.0,0.5458473355736918,0.46375420067210754,0.40374459913586175,0.40902544407105135,0.1699471915506481,0.3754200672107537
Кластер 1,0.6036,5643.620800000001,6340.564231787889,0.144,0.049600000000000005,0.0012,2.4040133779264207e-05,1.0,0.5084,0.5608,0.3264,0.3044,0.8872,0.0816,0.5588,0.4348,0.376,0.4004,0.1584,0.3848
Кластер 2,0.2931596091205212,27726.05211726384,62205.97470365718,311.1889250814332,65.43322475570032,1.0,0.02527134575763316,0.8990228013029316,1.0,1.0,0.8957654723127035,0.0781758957654723,0.9804560260586319,0.0,0.9218241042345277,0.5179153094462541,0.3517915309446254,0.3778501628664495,0.05863192182410423,0.3322475570032573
Кластер 3,0.2764350453172206,27849.161631419935,64272.761289316615,348.4441087613293,67.24471299093655,1.0,0.02790441988303787,0.9697885196374623,1.0,0.9003021148036254,0.04833836858006042,0.20996978851963746,0.9712990936555891,0.0,0.06042296072507553,0.5241691842900302,0.3338368580060423,0.42900302114803623,0.1510574018126888,0.35196374622356497
Кластер 4,0.12224938875305624,27477.268133659334,63923.215188292874,357.9462102689487,61.72208638956805,0.9894050529747351,0.028446075598291185,0.9991850040749797,0.29502852485737574,0.9372453137734311,0.9894050529747351,0.22330888345558272,0.9592502037489813,0.0,0.4971475142624287,0.4832925835370823,0.41075794621026895,0.4702526487367563,0.2208638956805216,0.41483292583537085
Кластер 5,0.6137281292059219,31909.13458950202,58162.332106986054,258.5531628532974,83.19515477792733,0.9771197846567967,0.01973346667102593,0.6406460296096904,0.6312247644683715,0.9098250336473755,0.3997308209959623,0.4104979811574697,0.14670255720053835,0.8532974427994616,0.4858681022880215,0.3553162853297443,0.32166890982503366,0.36608344549125166,0.15477792732166892,0.3203230148048452
Кластер 6,0.06629834254143646,29649.558011049725,62956.80571407823,319.475138121547,77.32872928176796,1.0,0.024938890331401703,0.8453038674033149,1.0,0.9558011049723757,0.0,0.32044198895027626,0.9779005524861878,0.0,1.0,0.20994475138121546,0.11602209944751381,0.11602209944751381,0.06353591160220995,0.0
Кластер 7,0.023076923076923078,31306.238461538458,61149.6434742878,298.0384615384615,88.46923076923078,1.0,0.02283193850556806,0.7307692307692307,0.8923076923076924,1.0,0.8692307692307693,0.23846153846153847,0.9923076923076923,0.0,0.9230769230769231,0.1076923076923077,0.4153846153846154,0.3923076923076923,0.0,0.2846153846153846
Кластер 8,0.19807427785419532,27143.056396148557,62543.52917985947,327.5653370013755,62.25584594222834,1.0,0.026797313631566202,0.951856946354883,0.9573590096286108,0.9202200825309491,0.04401650618982118,0.2173314993122421,0.9573590096286108,0.0,0.9766162310866575,0.4264099037138927,0.390646492434663,0.530949105914718,0.2077028885832187,0.5350756533700137
Кластер 9,1.9271523178807946,30695.51655629139,66555.23165860194,411.55629139072846,71.44370860927152,1.0,0.029121325133566748,1.0,0.6490066225165563,0.9933774834437086,1.0,0.0,0.9735099337748344,0.0,0.11920529801324503,0.3841059602649007,0.0,0.0,0.0,0.11920529801324503
Кластер 10,0.6176470588235294,28100.405731523377,63750.32660155456,339.4343891402715,68.14856711915536,1.0,0.02724498690320704,0.9638009049773756,0.3378582202111614,0.7978883861236803,0.07918552036199095,0.8054298642533937,0.9622926093514329,0.0,0.5098039215686274,0.4796380090497738,0.4555052790346908,0.3815987933634992,0.1794871794871795,0.38009049773755654
